B1N6Cdmean,B1N6Cdsd,B1N6Clmean,TipALxb1skew,RootMxb1mean,B1N6Clsd,TipALxb1sd,GenPwrmean,Alpha,WindSpeed
0.00950593121745798,0.00157695457610095,0.125445402379066,-1.53864019589117,149.403994345475,0.0741257705267106,2.57052290284671,5000.04884907822,0,20.666
0.00859086181645507,0.00166026127902628,0.11256742620149,-0.532898865375817,154.921042685432,0.105427053324603,2.60511347706506,5000.04884907822,0,20.622
0.00952847450218263,0.000353928096020942,0.0744984722326759,0.00725212245407886,151.22602285442,0.134517254240028,2.99978133359259,5000.04884907822,0,23.394
0.0094579648355029,0.00128222117963436,0.076130455588599,-1.11515056503912,136.469038749982,0.0994464913962633,2.30161132594828,5000.04884907822,0,22.514
0.00528856833529897,0.000670338337260793,0.863462218780745,-1.58813149152143,788.476784361419,0.0675308975270754,1.40876044473458,3404.00761046122,0,10.106
0.00589281458898268,0.00140625406793808,0.896992574574129,-1.92429868366182,1083.21709751476,0.0671322324108185,1.65596619947792,4282.33272636238,0,10.898
0.00672128476130035,0.00163798309144724,0.898856422689368,-1.46567197475189,836.168865946457,0.0970635726259822,1.19421803607146,2940.46161145903,0,9.93
0.00634650607506886,0.000516478290147977,0.252055216002482,-0.338547771237613,210.771293920608,0.0911176798939195,2.59549302405669,5000.04884907822,0,17.498
0.0103005465212434,0.000493607094080775,0.0834497523618496,0.198365257994102,124.908640645591,0.136215943875528,2.6302127197061,5000.04884907822,0,24.758
0.00922757245290795,0.00084123388329416,0.103907950007964,-1.28021977692191,118.211881610677,0.0876770816817802,3.02902592346316,5000.04884907822,0,23.526
0.0106396100722566,0.000353928096020942,0.485641944176333,-0.745711882554457,127.713873547551,0.0228926866473221,0.157953909305217,75.5182545693588,0.25,3.418
0.0105870422763924,0.00209483522948619,0.858120469299917,-1.59478769107886,1024.90923242159,0.0544887681774973,1.56139088870074,3837.30121486521,0.25,10.678
0.00872865567605664,0.00129593127943939,0.505393457320962,-0.948042226789575,443.57027675556,0.0773055816233923,1.40175969116272,4928.3612611419,0.25,14.11
0.00874100781983655,0.00110224727276176,-0.024604619754002,0.566605958122723,42.7582856752788,0.103125994298745,3.12484598300378,4974.35890988203,0.25,23.658
0.00816203937297678,0.0013693707255137,0.343454547736824,-0.927710261745286,282.207785827443,0.0507247086072021,1.65908560218836,5000.04884907822,0.25,16.09
0.0103996261205636,0.00151571605474346,0.839682329618489,-1.41327096669306,627.498175855744,0.0580870952959445,0.744171146536395,1716.37190636805,0.25,7.862
0.0102213636610907,0.00241153366847489,-0.00916489550618022,0.571838425035295,77.256956224901,0.128979733756892,3.25701379020698,5000.04884907822,0.25,22.866
0.00943579641229193,0.00119450829814039,0.572258811249714,-1.18607228541108,602.640719364202,0.0580780947166687,1.5133909650125,5000.04884907822,0.25,13.714
0.00851164080827505,0.00109929098763227,0.221892340367948,-0.959143364010675,211.197133840775,0.0913915222139516,2.12197840391859,5000.04884907822,0.25,17.102
0.0138229231564739,0.00451026208397681,0.940514669368489,-1.44972114280503,1324.11948794258,0.0698820772635535,1.7945022927253,4623.59612057513,0.25,12.042
0.00714042222517886,0.00130532460462581,0.305076185607767,-1.03152795476173,257.323713713445,0.0683145632314285,1.60991267559496,5000.04884907822,0.25,15.782
0.00853831094527634,0.00102399756726128,0.620759574210747,-1.28612143632099,731.061324378841,0.0652161866121832,1.60550207027983,5000.04884907822,0.25,13.274
0.00893527399849462,0.000524445748675818,0.0183863108256323,0.733688006808284,75.2826320411483,0.142699147032381,3.1928074771784,5000.04884907822,0.25,23.878
0.00934727518086083,0.00187006324254993,0.0441535784159131,-0.46725793087212,66.8116803085839,0.0534327992752414,2.28511317383236,5000.04884907822,0.25,21.722
0.010723415972291,0.00160490820167442,0.825482662291565,-1.38761059808559,833.784171324067,0.0752237088455858,1.0980232016108,2710.72628453146,0.25,9.446
0.0107967433286547,0.00135486014536482,0.824653577521359,-1.46302443967247,588.903183502239,0.0534692957085502,0.782018758366965,1714.42991817584,0.25,7.906
0.00684844349463776,0.00164598248145163,0.333317699378141,-1.03140567670634,278.043595634607,0.0691328534607875,1.65526727426848,5000.04884907822,0.25,15.298
0.0101799950135725,0.00126335060967991,0.733418702022218,-0.739100495109652,427.458440410274,0.0630725106320069,0.458095398894997,795.392489570932,0.25,6.058
0.0113886228112381,0.000944542785650596,0.667796442919404,-1.20771916807376,743.168060491574,0.0536809851735644,1.60761246147498,4937.9956279181,0.25,13.626
0.00816692770946993,0.000495732187713814,0.679796126045181,-1.46078210802321,880.782209544424,0.0666623522284744,1.69950098113039,5000.04884907822,0.25,12.922
0.00967371537108032,0.00095998689708283,0.20431629550496,-1.44095728269216,182.35529018743,0.0766002649309938,2.43106155881188,5000.04884907822,0.25,19.082
0.00960554187770005,0.000353928096020942,0.493230628777849,-0.418501451972734,44.7133540563834,0.0360033786450055,0.171782988228827,5.18488850655012,0.25,3.374
0.00847185082383236,0.000907813509615527,0.258406163013051,-0.800970365087418,234.827636937001,0.094209834305437,1.66962652119397,4982.41024935205,0.25,18.026
