WindDirection,WindSpeed,AirDensity,WindShear,B1Er1,B1Er2,B1Er3,B1Er4,B1Er5,B1Er6,B2Er1,B2Er2,B2Er3,B2Er4,B2Er5,B2Er6,B3Er1,B3Er2,B3Er3,B3Er4,B3Er5,B3Er6,Alpha,Style,Timemean,RootFxb1mean,RootFyb1mean,RootFzc1mean,RootMxb1mean,RootMyb1mean,RootMzc1mean,TipDxc1mean,TipDyc1mean,TipDzc1mean,TipDxb1mean,TipDyb1mean,TipALxb1mean,TipALyb1mean,TipALzb1mean,TipRDxb1mean,TipRDyb1mean,HSShftVmean,B1Pitchmean,B1N1Clmean,B1N2Clmean,B1N3Clmean,B1N4Clmean,B1N5Clmean,B1N6Clmean,B1N1Cdmean,B1N2Cdmean,B1N3Cdmean,B1N4Cdmean,B1N5Cdmean,B1N6Cdmean,GenPwrmean,GenTqmean,Timesd,RootFxb1sd,RootFyb1sd,RootFzc1sd,RootMxb1sd,RootMyb1sd,RootMzc1sd,TipDxc1sd,TipDyc1sd,TipDzc1sd,TipDxb1sd,TipDyb1sd,TipALxb1sd,TipALyb1sd,TipALzb1sd,TipRDxb1sd,TipRDyb1sd,HSShftVsd,B1Pitchsd,B1N1Clsd,B1N2Clsd,B1N3Clsd,B1N4Clsd,B1N5Clsd,B1N6Clsd,B1N1Cdsd,B1N2Cdsd,B1N3Cdsd,B1N4Cdsd,B1N5Cdsd,B1N6Cdsd,GenPwrsd,GenTqsd
1.65,19.918,1.34672,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,157.25517654411,-10.0190375492136,619.913644412041,144.48943769399,4059.21529007395,-47.2886001458181,1.06158234709614,-0.408569877419019,-0.0236135249140714,1.13498144185189,-0.0755803650963442,-1.21583829620873,-0.823517871034267,-101.084308926154,0.0867388957296115,1.75258306612436,1173.73117383606,17.2405270284347,1.51931402978856,0.884030913446515,0.466907572127903,0.340972138318925,0.184854090969691,0.0934224631882096,0.0266015814179773,0.00899017243974587,0.00610299000104156,0.00602020664514113,0.00577100718675138,0.00600013404853661,4999.97312779919,43.0934725549424,17.3232166618681,52.1468965548743,119.006912199136,117.729680391398,2469.92583536962,1542.56783211183,17.6494207411614,0.657576425158884,0.51916077406934,0.0209016553740601,0.759057575450216,0.354641313201873,3.56818003653334,0.545837392295902,1.70710476879365,0.564284750942939,1.5639426398938,0.780702119280274,0.00645443352246815,0.221622285704423,0.172421913263442,0.130216646545089,0.11709492924057,0.115695387692211,0.0914471647893305,0.0375164972703546,0.00973884630892275,0.002912064290532,0.00124727632004434,0.00103067406192623,0.00124339698870002,3.02622335752062,0.010828324250102
4.65,24.758,1.37744,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,148.155929590668,-10.6658309905218,620.299968753255,132.416031090511,3091.31041930007,-58.3203478804291,0.206770711165504,-0.0933217280845745,-0.0189928799083429,0.226786808238725,-0.00558058008644933,-4.86935493615248,-1.49103296312884,-100.918740756172,-0.0443532868242891,-0.498793391677951,1173.70450994688,22.8818050203099,1.51202926778461,0.93907394021456,0.439836213936048,0.241200849488595,0.0449138711256119,-0.0986442086136861,0.0610260002218519,0.00982785447370066,0.00616334217758567,0.00605881241537339,0.00608985251536299,0.00640174960941569,4999.95958754296,43.093536089991,17.3232166618681,75.4263103093899,114.465633216929,116.21844600883,2374.49880427981,2294.89821943038,23.1048880218876,0.936380022819037,0.700069441445997,0.0128831903282377,1.11393548085701,0.355028742021114,4.3541679957021,0.938275643791091,2.39570993904866,0.565844708516741,2.32605222994638,1.17147942075839,0.0065766236748447,0.284445133984525,0.277399174412194,0.208516275642853,0.180911606789548,0.14475445508029,0.143345683600177,0.0742051932852271,0.0155681293856747,0.00433659355068904,0.00150820838183505,0.00105194536559859,0.00151722605908986,4.66141430575114,0.0152228232735771
-7.23,24.626,1.21616,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,148.29895219248,-8.68516552025831,620.864128736589,76.1845298062701,3345.85303614207,-47.0859056348297,0.484692483424643,-0.215999120645766,-0.00738711800854077,0.530334034319342,-0.0180681657587751,-3.59889691021769,-1.30228262006041,-101.017006561816,-0.0158183588272055,0.295026335121342,1173.68732423706,22.0692584105822,1.57730069784398,0.984833027809603,0.480299604207895,0.287289574002708,0.0805335059806271,-0.0441365013294449,0.0739653355337986,0.00989391568805333,0.00625808019997917,0.00603819393813144,0.00612356233725653,0.00635888469951046,4999.96062910114,43.0935517133635,17.3232166618681,41.0211792879339,111.949803057677,117.201285796211,2310.65039680309,1004.03678829689,14.5996101794081,0.402820410660656,0.437272010683286,0.00414711849761494,0.499821530365503,0.321942117943164,3.08964711831661,0.69368801573424,1.52335192259081,0.511589078711274,1.04448758273185,1.37633826388366,0.00719461519808288,0.279671505014761,0.184167088111381,0.093492196175278,0.0734726573903217,0.0692137872700841,0.0855165579459594,0.0898261640636877,0.0134615328294801,0.00290083102177646,0.00073366710085984,0.00136191561148493,0.00147272478354191,5.38519496126712,0.0171915876179159
0.15,13.626,1.1528,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,210.08130403083,-21.1757036621185,609.841391521717,588.804143630872,7048.05843141339,-11.5820068351213,3.47676158733465,-0.705681356108739,-0.17323681074888,3.53321893552755,-0.319726630757213,8.894694198521,-0.243690243630872,-100.635584834913,0.523152149688574,7.60443610040621,1173.61556087908,6.30279731277996,1.4209518800125,0.965346286845121,0.703852348713676,0.695906301426935,0.668943214248516,0.630744557858556,0.0149373890810332,0.00879527384709925,0.00604745259004271,0.00602023414227684,0.00594575127590876,0.00581473096552443,4999.98708467868,43.0935246328502,17.3232166618681,23.8984047455611,124.696751905392,119.529075477392,2590.64014203536,803.228356528359,29.8120230757472,0.445187184563206,0.394949917919816,0.0457176516383729,0.474141667230279,0.359667640529816,1.54597955315307,0.23100170906615,1.15339324301674,0.574485570797303,1.00557986458931,0.486487753000406,0.00551278410709409,0.143085487183568,0.0956044384811961,0.0738131119150027,0.0669333831668689,0.065964395257663,0.0607389886609671,0.0226479776596662,0.00689447842508648,0.00299064471516975,0.00198442725914515,0.00136855120405847,0.000853749163865132,1.46963709027076,0.00591719267906005
-12.03,6.278,1.16496,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,98.2788438704305,-10.8087521726904,257.857432559108,331.114790896782,3543.98302260181,-8.51064001942506,2.03305186959692,-0.189725893646495,-0.0600282022705969,2.03305186959692,-0.189725893646495,1.56802741381106,-0.102167781420685,-42.7394771377981,0.322225119747943,4.59446276429539,763.318675138003,-3.1153452140402e-18,0.989966357671076,0.771623851682117,0.642267982501822,0.696500541610249,0.772484991146756,0.810018570982189,0.0124839224004791,0.00829110398682429,0.00598728407457557,0.00597402078950109,0.00633331934173523,0.00630724487032601,679.765389021977,9.00848453286114,17.3232166618681,4.73046348776296,122.62911094432,120.588280472411,2552.00310319097,254.793293310292,16.2969920192903,0.239897463376053,0.348177949370988,0.014696482090294,0.239897463376053,0.348177949370988,0.440123349467307,0.0721812572773814,0.469713052391181,0.557939986200506,0.50519694436698,0.139844239153855,1.24943137670332e-15,0.0906700411482524,0.0281075566981195,0.0156337975160556,0.0333929857548452,0.0483971822389402,0.062706520543117,0.0128059823463513,0.00303224100390462,0.00136760509883591,0.00135444810000737,0.0013723886107994,0.00111096584909023,0.610872733950075,0.00709101509783306
-8.19,12.13,1.10096,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,261.762160191647,-40.4792581897719,579.642776794084,1312.86414262056,9306.66368086658,3.85539874075617,5.09273096552442,-0.554744080824914,-0.364291209249036,5.09273096552442,-0.554744080824914,14.8252468492865,-0.646331328569941,-97.0441797729404,0.922292947609624,11.2771852931986,1158.11488386626,6.42402973648586e-18,1.58423862097698,1.22910061451932,1.00165207790855,1.02265503593376,1.03985838975107,1.01302737214873,0.0250656976286845,0.0107675551473805,0.00603003650640558,0.00599494376158733,0.00718036314758879,0.00668773450098948,4801.93833975628,41.9435579627122,17.3232166618681,15.8701379785459,126.448780334781,121.029787062581,2672.07772800412,722.065817566856,44.1503874517036,0.511272434520395,0.382992244118913,0.074757474931483,0.511272434520395,0.382992244118913,1.73632528829347,0.33954205689026,1.02453508591051,0.616068192817022,1.11723244929917,0.736283112972872,1.35493720655781e-15,0.156759877519509,0.0460620446680053,0.0219490266513634,0.0326362562941454,0.0387725259079393,0.0560045047542674,0.0360903089052821,0.00727134314794676,0.00351803645886797,0.00298514734790142,0.00267114410995943,0.00230375661064655,7.61215788185605,0.057447494137537
6.33,17.058,1.23728,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,168.979962503906,-11.6451748313717,618.432132069576,239.327386157692,4981.736902406,-33.6251488691803,1.87770528069993,-0.585613586376419,-0.056800190709301,1.96100424955734,-0.152277919300073,2.27472895820227,-0.452887924432872,-101.065876471201,0.226709121831059,3.79640797833559,1173.64045411936,12.8819216748256,1.45508731382148,0.889953109051141,0.537710884282887,0.462055160920738,0.356881356108739,0.280456796167066,0.0271828871534215,0.00916262054950527,0.0061274626393084,0.00603378241849807,0.00571150276012915,0.00546314217269034,4999.97521091553,43.0932121653994,17.3232166618681,44.3242308642455,122.520588556208,118.970588337192,2545.92393247194,1364.3834624648,21.05969807187,0.644169903968978,0.478062754430374,0.0354416051050701,0.715402358646475,0.362896909257557,1.88843419493473,0.435158650088242,1.52362661004013,0.578663298908299,1.50763434942203,0.589212718029274,0.00520061193783966,0.28670963652543,0.20706118112813,0.147657782619063,0.123255826665338,0.1162666987302,0.105239513362699,0.0450147050972078,0.0118625612201638,0.00398243767564788,0.00200294249580649,0.00112200000678554,0.000561111749948844,2.10039927250694,0.00772938669328375
-3.39,15.122,1.1272,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,188.85219247995,-15.9118750609311,614.491761274867,396.967345609832,6063.53452765337,-18.0109523606499,2.74875460889491,-0.682869461514425,-0.110544588063743,2.82229788563691,-0.237883717591917,5.92936755546297,-0.263371979787522,-100.898122070617,0.380430967818977,5.90399343818352,1173.58150192688,9.13359295906676,1.45991500885324,0.943776606603479,0.64092697635663,0.603630351005105,0.542962368503281,0.488387657535674,0.0160597210545776,0.00878229007186752,0.00605172069221956,0.006018903760025,0.00612104384959899,0.0059082673679825,4999.98396000417,43.0935110925942,17.3232166618681,29.2017781214252,123.301685011877,119.039966493365,2559.84755114645,913.757173182292,24.686679725574,0.472982988138685,0.416792689790904,0.0391593174398345,0.518488333005901,0.358596478185294,1.58366397351546,0.287156339034177,1.26762141269803,0.572654917390575,1.09381933192572,0.493338408850684,0.00473894859155785,0.138688181666953,0.0807688962190398,0.0605463620338473,0.0587375574374738,0.0630975297767771,0.0642853311639291,0.0258206465999807,0.00643264328110354,0.00245158695644764,0.0015603974526768,0.00102034999328965,0.00078411606660159,1.66669364063512,0.00645288266202491
2.91,13.406,1.39344,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,209.910019789605,-17.523744787418,610.696219143839,449.905640662431,6951.31257160712,-23.7828432871576,3.34451536298302,-0.730713592334132,-0.161558795958754,3.41139516717009,-0.286600094448495,8.33468857410687,-0.202824714018436,-100.689779189669,0.466626304442245,7.28819466722217,1173.6175398396,7.5220881158213,1.27700967607541,0.825494750546819,0.580309176127487,0.575352369544838,0.541144307884595,0.508942787209666,0.0127120521958858,0.00859923139443807,0.00604513321529008,0.00601653077804395,0.00612855265076555,0.00599011196750338,4999.99114675555,43.0936589938543,17.3232166618681,28.2429471950083,124.430513137461,119.81741506731,2583.01344996129,929.459335950016,28.8905647615276,0.493856790137582,0.406251465719946,0.0485400162154481,0.528682830518426,0.35976782010717,1.64447784427017,0.265467264570279,1.19026151415185,0.574340784575714,1.12061462372808,0.486013362621864,0.00472849797785553,0.166676813934148,0.115688544869866,0.0864143698756071,0.075109783545344,0.0716942882367454,0.0634979012637215,0.0225270467275994,0.00668258391205761,0.00266272511940731,0.00168444219566508,0.00107622533603345,0.000734973248991284,1.46352341237331,0.00585198992046552
-2.73,12.658,1.23408,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,230.693271534215,-25.4057556962817,604.916185813978,743.30520940527,7940.91011352984,-9.24099942610145,4.10045172377877,-0.711102301843559,-0.239119987501302,4.14348849078221,-0.388422210363504,11.3834942193521,-0.289163399838559,-100.322899697949,0.642124973985001,9.04515185918134,1173.66836787835,4.4830001041558,1.3626534735965,0.958931882095617,0.727880314550568,0.739598323091345,0.735832309134465,0.709636975315071,0.0129468291105093,0.00868582589521926,0.00603450421966462,0.00601322862201854,0.00593617862722633,0.00567864899489636,4999.98500156234,43.0929923966249,17.3232166618681,21.0737811167424,125.308816573427,119.811116512933,2611.5275895446,763.172245973179,34.8386007371305,0.45369304944188,0.391687549930735,0.0546455763824164,0.475312394968017,0.36514938437723,1.59925701687824,0.229697052046336,1.10834296701996,0.584466453867151,1.01484757869251,0.489481371437943,0.00992925496479048,0.113012254178223,0.0650668508718872,0.0503259699561374,0.0479079529355967,0.0490520125284827,0.0475149512804513,0.0194533950131025,0.00549070722077705,0.00248227879948142,0.00179438456895378,0.00137383503371396,0.000946468795219499,1.37764292305191,0.00736778209612664
